,mid,Recency,Frequency,Engagement,R_Quartile,F_Quartile,E_Quartile,RFEScore,Segment
0,170325,0,1925,1233.0,4,4,4,444,Best user
1,3166981,0,496,889.0,4,4,4,444,Best user
2,558560,0,486,880.0,4,4,4,444,Best user
3,1522673,0,491,811.2,4,4,4,444,Best user
4,3796559,0,1287,1062.2,4,4,4,444,Best user
5,498940,0,669,695.2,4,4,4,444,Best user
6,682936,0,417,643.0,4,4,4,444,Best user
7,160112,0,2611,641.8,4,4,4,444,Best user
8,63153,0,2123,598.4,4,4,4,444,Best user
9,649373,0,295,522.0,4,4,4,444,Best user
10,1599088,0,436,519.2,4,4,4,444,Best user
11,296994,0,468,554.2,4,4,4,444,Best user
12,1074690,0,282,476.0,4,4,4,444,Best user
13,4545600,0,1008,830.2,4,4,4,444,Best user
14,3762381,0,990,642.6,4,4,4,444,Best user
15,437708,0,793,453.2,4,4,4,444,Best user
16,2781579,0,1233,615.0,4,4,4,444,Best user
17,4510105,0,1036,410.8,4,4,4,444,Best user
18,2724686,0,736,361.4,4,4,4,444,Best user
19,1203109,1,249,352.8,2,4,4,244,Almost lost best user
20,1428399,0,1659,369.0,4,4,4,444,Best user
21,352454,1,162,384.2,2,4,4,244,Almost lost best user
22,1910545,0,722,337.8,4,4,4,444,Best user
23,3339481,3,519,372.8,1,4,4,144,Lost best user
24,4340607,0,1521,647.2,4,4,4,444,Best user
25,3337732,0,1566,593.6,4,4,4,444,Best user
26,4427540,0,594,406.4,4,4,4,444,Best user
27,4393223,0,2266,557.6,4,4,4,444,Best user
28,670450,0,489,621.6,4,4,4,444,Best user
29,739204,0,724,382.6,4,4,4,444,Best user
30,3849019,0,451,293.2,4,4,4,444,Best user
31,63516,0,882,296.2,4,4,4,444,Best user
32,668828,0,502,412.6,4,4,4,444,Best user
33,4634698,2,447,351.6,2,4,4,244,Almost lost best user
34,4596351,0,464,297.4,4,4,4,444,Best user
35,3142578,0,136,267.0,4,3,4,434,Big contributor
36,1686632,0,789,365.4,4,4,4,444,Best user
37,4021474,0,394,270.2,4,4,4,444,Best user
38,2479577,0,708,321.8,4,4,4,444,Best user
39,4627869,0,1050,287.8,4,4,4,444,Best user
40,652893,0,249,243.0,4,4,4,444,Best user
41,803442,0,659,263.6,4,4,4,444,Best user
42,177254,0,564,274.8,4,4,4,444,Best user
43,311074,0,451,304.6,4,4,4,444,Best user
44,685376,0,139,232.0,4,3,4,434,Big contributor
45,876545,0,120,231.0,4,3,4,434,Big contributor
