mid,desktop,mobile,pageview,room_1,room_2,room_3,tag_1,tag_2,tag_3,tag_4,tag_5
170325,2083,5,2088,mbk,siliconvalley,social,truemove H,truemove,AIS,Mobile Operator,4G
3166981,0,496,496,home,social,tvshow,บ้าน,กฎหมายชาวบ้าน,เตือนภัย,เกมเสน่หา (ละคร),ณฐพร เตมีรักษ์ (แต้ว)
558560,477,10,487,chalermkrung,sinthorn,,หาเพื่อน,ชีวิตวัยรุ่น,เครื่องดนตรี,ดนตรี,เพลง
1522673,491,0,491,tvshow,korea,,ซีรีส์,ซีรีส์เกาหลี,นักแสดงเกาหลี,,
3796559,0,1287,1287,isolate,tvshow,region,สังคมชาวพันทิป,7 HD,ละครโทรทัศน์,3 HD (BEC),เรตติ้งละคร
498940,667,5,672,tvshow,chalermkrung,,ชลธร คงยิ่งยง (กัปตัน),นักแสดงชาย,BEC (ช่อง 3),นักแสดง,เกมเสน่หา (ละคร)
682936,340,83,423,tvshow,food,social,นักแสดง,นักแสดงชาย,ละครโทรทัศน์,นักแสดงไทย,รายการข่าว
160112,2750,0,2750,mbk,siliconvalley,social,AIS,truemove H,อินเทอร์เน็ต,dtac,Mobile Operator
63153,2147,0,2147,mbk,social,siliconvalley,dtac,AIS,truemove H,4G,Mobile Operator
649373,192,103,295,tvshow,wahkor,region,ถ้ำหลวง ขุนน้ำนางนอน,one HD (GMM),ละครโทรทัศน์,ธรณีวิทยา,วิทยาศาสตร์
1599088,438,0,438,social,cartoon,chalermthai,ปัญหาชีวิต,การแสดงเกี่ยวกับการ์ตูน,ภาพยนตร์,Guardians of the Galaxy,
296994,468,0,468,,,,,,,,
1074690,282,0,282,home,food,,บ้าน,สูตรอาหาร,ทำอาหาร,อาหารฝรั่ง,อาหาร
4545600,307,702,1009,sinthorn,food,social,หุ้น,การลงทุน,TFEX (Thailand Future Exchange),Technical Analysis,การเงิน
3762381,990,0,990,isolate,tvshow,chalermthai,สังคมชาวพันทิป,7 HD,ละครโทรทัศน์,3 HD (BEC),เรตติ้งละคร
437708,793,0,793,tvshow,beauty,pantip,ธนวรรธน์ วรรธนะภูติ (โป๊ป),บุพเพสันนิวาส,นักแสดงชาย,BEC (ช่อง 3),3 HD (BEC)
2781579,998,235,1233,isolate,tvshow,social,สังคมชาวพันทิป,7 HD,ละครโทรทัศน์,3 HD (BEC),เรตติ้งละคร
4510105,913,123,1036,sinthorn,silom,siam,หุ้น,การลงทุน,ตลาดหลักทรัพย์,TFEX (Thailand Future Exchange),Technical Analysis
