,0,1,2,3,4,5,mid
0,mbk,1533,siliconvalley,351,social,314,170325
1,home,1,social,1,tvshow,1,3166981
2,chalermkrung,1,sinthorn,1,0,0,558560
3,tvshow,1,korea,1,0,0,1522673
4,isolate,1240,tvshow,29,region,2,3796559
5,tvshow,6,chalermkrung,1,0,0,498940
6,tvshow,9,food,3,social,1,682936
7,mbk,2055,siliconvalley,760,social,217,160112
8,mbk,2072,social,225,siliconvalley,114,63153
9,tvshow,10,wahkor,5,region,1,649373
10,social,1,cartoon,1,chalermthai,1,1599088
11,0,0,0,0,0,0,296994
12,home,1,food,1,0,0,1074690
13,sinthorn,984,food,11,social,4,4545600
14,isolate,711,tvshow,108,chalermthai,10,3762381
15,tvshow,792,beauty,129,pantip,2,437708
16,isolate,956,tvshow,111,social,55,2781579
17,sinthorn,1027,silom,42,siam,7,4510105
18,supachalasai,402,korea,284,tvshow,24,2724686
19,tvshow,244,isolate,4,library,4,1203109
20,family,879,bangrak,782,siam,309,1428399
21,sinthorn,155,blueplanet,6,tvshow,3,352454
22,religious,717,library,75,social,55,1910545
23,rajdumnern,520,social,3,silom,1,3339481
24,isolate,731,korea,436,tvshow,16,4340607
25,isolate,964,korea,301,siam,177,3337732
26,religious,585,library,64,siam,52,4427540
27,isolate,1580,korea,451,tvshow,197,4393223
28,sinthorn,485,bangrak,2,silom,2,670450
29,isolate,258,tvshow,96,silom,6,739204
30,tvshow,426,supachalasai,16,beauty,14,3849019
31,siliconvalley,492,siam,75,bangrak,70,63516
32,supachalasai,496,tvshow,5,isolate,3,668828
33,supachalasai,194,blueplanet,91,wahkor,75,4634698
34,isolate,338,tvshow,45,korea,1,4596351
35,art,1,0,0,0,0,3142578
36,tvshow,782,social,37,home,15,1686632
37,korea,389,tvshow,77,chalermkrung,19,4021474
38,rajdumnern,702,bangrak,2,silom,2,2479577
39,rajdumnern,1011,library,23,blueplanet,23,4627869
40,supachalasai,255,tvshow,4,chalermthai,2,652893
41,supachalasai,362,korea,211,tvshow,67,803442
42,sinthorn,488,supachalasai,24,camera,24,177254
43,rajdumnern,451,wahkor,1,0,0,311074
44,0,0,0,0,0,0,685376
45,0,0,0,0,0,0,876545
46,wahkor,475,library,401,cartoon,275,97088
47,siliconvalley,284,sinthorn,274,silom,32,241567
48,tvshow,320,chalermthai,13,social,12,3808159
49,supachalasai,88,chalermthai,3,library,1,2635177
50,tvshow,127,region,67,wahkor,62,231205
51,horoscope,179,religious,4,supachalasai,4,3763386
52,siam,318,isolate,237,bangrak,129,3663351
53,rajdumnern,472,social,36,wahkor,17,4379835
54,rajdumnern,392,social,3,region,3,4661612
55,rajdumnern,503,social,3,sinthorn,2,4671979
56,religious,80,tvshow,1,wahkor,1,4012218
57,sinthorn,636,home,169,siliconvalley,24,434867
58,siam,371,bangrak,68,chalermkrung,36,711730
59,supachalasai,185,tvshow,57,wahkor,32,3788130
60,tvshow,110,library,4,food,1,4107496
61,religious,340,bangrak,17,social,15,3949931
62,supachalasai,313,religious,2,0,0,3211913
63,writer,501,supachalasai,13,library,11,157385
64,wahkor,188,supachalasai,118,library,49,2808649
65,rajdumnern,267,writer,153,library,11,4549145
66,isolate,321,chalermkrung,82,supachalasai,59,179922
67,0,0,0,0,0,0,1057229
68,rajdumnern,461,cartoon,6,library,1,4668416
69,sinthorn,179,ratchada,9,blueplanet,3,300374
70,bangrak,156,siam,92,social,10,3547790
71,family,197,tvshow,133,siam,75,548241
72,rajdumnern,219,silom,5,social,4,4669887
73,sinthorn,378,bangrak,4,silom,4,586974
74,tvshow,25,pantip,9,cartoon,6,606176
75,supachalasai,587,tvshow,58,social,8,4296827
76,ratchada,275,mbk,266,social,55,2119676
77,siam,242,bangrak,192,social,75,2874271
78,rajdumnern,592,tvshow,17,wahkor,7,3939140
79,camera,1,home,1,social,1,675415
80,supachalasai,248,food,38,social,29,1219966
81,sinthorn,571,beauty,7,chalermthai,1,3271723
82,silom,69,sinthorn,61,social,50,1082362
83,tvshow,180,social,13,supachalasai,12,511250
84,writer,769,library,206,theoldsiam,143,265954
85,supachalasai,410,tvshow,16,library,11,4609054
86,siliconvalley,298,mbk,41,home,15,523485
87,rajdumnern,232,blueplanet,1,social,1,4481104
88,bangrak,156,siam,89,social,22,912751
89,tvshow,45,region,5,blueplanet,3,220723
90,siam,63,bangrak,57,silom,54,4655813
91,bangrak,470,siam,264,silom,59,4359806
92,sinthorn,522,region,1,social,1,118477
93,tvshow,171,wahkor,139,region,139,822399
94,rajdumnern,643,blueplanet,8,supachalasai,5,4054760
95,jatujak,315,siam,14,bangrak,8,585781
96,supachalasai,159,siliconvalley,152,mbk,29,36950
97,isolate,171,tvshow,46,korea,4,4651231
98,supachalasai,179,region,31,blueplanet,27,176167
99,rajdumnern,379,social,10,sinthorn,7,4597917
100,isolate,148,tvshow,31,pantip,3,690736
101,supachalasai,318,wahkor,78,klaibann,52,4532328
102,tvshow,854,pantip,33,chalermthai,29,4367224
103,klaibann,349,library,199,blueplanet,173,785849
104,isolate,204,chalermkrung,55,blueplanet,6,4437763
105,sinthorn,216,blueplanet,4,wahkor,2,1808959
106,supachalasai,273,sinthorn,75,home,38,194065
107,0,0,0,0,0,0,227408
108,home,194,ratchada,81,blueplanet,64,196472
109,religious,78,blueplanet,42,library,30,4671935
110,sinthorn,237,social,3,silom,2,565719
111,supachalasai,103,silom,92,social,62,1427819
112,horoscope,89,family,2,library,1,3830725
113,supachalasai,271,tvshow,80,blueplanet,22,929223
114,chalermkrung,818,isolate,625,bangrak,116,4505358
115,bangrak,232,siam,117,social,29,4617741
116,supachalasai,281,social,157,siam,58,3407594
117,sinthorn,713,social,10,home,6,199897
118,korea,336,isolate,242,chalermkrung,87,890894
119,tvshow,279,beauty,54,food,18,2403959
120,siliconvalley,3,mbk,2,0,0,688004
121,tvshow,451,region,83,wahkor,74,1636792
122,rajdumnern,153,social,3,0,0,3575330
123,sinthorn,210,social,101,silom,51,4250130
124,bangrak,251,siam,217,social,29,4653731
125,gallery,53,blueplanet,53,region,52,495653
126,jatujak,285,home,4,tvshow,3,581277
127,tvshow,109,social,102,blueplanet,67,605652
128,wahkor,101,horoscope,75,social,47,1379695
129,isolate,378,chalermkrung,118,region,21,4469698
130,wahkor,409,library,30,rajdumnern,27,4561664
131,religious,185,horoscope,7,wahkor,5,4610390
132,sinthorn,380,supachalasai,97,silom,4,1101259
133,sinthorn,268,silom,9,lumpini,2,3181438
134,tvshow,234,region,132,wahkor,131,154811
135,sinthorn,816,silom,45,food,36,51273
136,supachalasai,307,tvshow,3,sinthorn,2,3933498
137,siam,173,isolate,169,bangrak,89,3954471
138,jatujak,258,gallery,7,region,6,1313900
139,rajdumnern,253,library,3,sinthorn,2,710499
140,siam,214,social,164,bangrak,146,603942
141,tvshow,61,siam,3,beauty,3,709736
142,0,0,0,0,0,0,504363
143,chalermkrung,76,isolate,43,religious,36,4375086
144,sinthorn,208,library,65,social,52,433385
145,sinthorn,244,social,1,ratchada,1,580159
146,supachalasai,65,bangrak,57,siam,55,4308661
147,social,212,klaibann,209,ratchada,199,727122
148,tvshow,218,region,13,wahkor,12,147116
149,rajdumnern,430,library,6,silom,1,4368195
150,religious,205,horoscope,30,siam,20,3833826
151,religious,134,rajdumnern,41,social,17,143120
152,tvshow,183,beauty,8,blueplanet,3,356991
153,tvshow,197,supachalasai,127,social,16,188794
154,food,82,blueplanet,44,mbk,39,4019363
155,home,80,wahkor,65,siliconvalley,63,858081
156,lumpini,134,wahkor,66,family,36,401318
157,supachalasai,289,lumpini,26,beauty,12,544382
158,rajdumnern,137,0,0,0,0,3339513
159,isolate,405,tvshow,378,wahkor,21,703744
160,bangrak,239,ratchada,198,siam,140,1595
161,ratchada,58,blueplanet,56,camera,14,272283
162,bangrak,203,siam,107,tvshow,95,4287722
163,tvshow,458,chalermkrung,30,silom,23,278777
164,klaibann,284,ratchada,211,blueplanet,82,1511167
165,tvshow,347,korea,34,chalermkrung,27,4053831
166,siam,1,bangrak,1,0,0,478854
167,tvshow,112,social,101,wahkor,94,582604
168,jatujak,476,home,39,wahkor,34,414981
169,sinthorn,426,isolate,108,social,60,425846
170,rajdumnern,272,supachalasai,31,region,7,4665693
171,bangrak,356,siam,181,beauty,62,402290
172,tvshow,221,library,166,blueplanet,157,198587
173,sinthorn,340,supachalasai,14,horoscope,2,277209
174,ratchada,260,jatujak,51,social,30,2854971
175,tvshow,140,blueplanet,15,region,10,1159344
176,mbk,67,isolate,64,tvshow,44,947878
177,tvshow,504,wahkor,333,region,325,2099550
178,bangrak,108,siam,86,isolate,81,4668581
179,ratchada,407,social,115,supachalasai,89,623267
180,blueplanet,62,0,0,0,0,3578
