,mid,tag_1,tag_2,tag_3,tag_4,tag_5
0,170325,truemove H,truemove,AIS,Mobile Operator,4G
1,3166981,บ้าน,กฎหมายชาวบ้าน,เตือนภัย,เกมเสน่หา (ละคร),ณฐพร เตมีรักษ์ (แต้ว)
2,558560,หาเพื่อน,ชีวิตวัยรุ่น,เครื่องดนตรี,ดนตรี,เพลง
3,1522673,ซีรีส์,ซีรีส์เกาหลี,นักแสดงเกาหลี,,
4,3796559,สังคมชาวพันทิป,7 HD,ละครโทรทัศน์,3 HD (BEC),เรตติ้งละคร
5,498940,ชลธร คงยิ่งยง (กัปตัน),นักแสดงชาย,BEC (ช่อง 3),นักแสดง,เกมเสน่หา (ละคร)
6,682936,นักแสดง,นักแสดงชาย,ละครโทรทัศน์,นักแสดงไทย,รายการข่าว
7,160112,AIS,truemove H,อินเทอร์เน็ต,dtac,Mobile Operator
8,63153,dtac,AIS,truemove H,4G,Mobile Operator
9,649373,ถ้ำหลวง ขุนน้ำนางนอน,one HD (GMM),ละครโทรทัศน์,ธรณีวิทยา,วิทยาศาสตร์
10,1599088,ปัญหาชีวิต,การแสดงเกี่ยวกับการ์ตูน,ภาพยนตร์,Guardians of the Galaxy,
11,296994,,,,,
12,1074690,บ้าน,สูตรอาหาร,ทำอาหาร,อาหารฝรั่ง,อาหาร
13,4545600,หุ้น,การลงทุน,TFEX (Thailand Future Exchange),Technical Analysis,การเงิน
14,3762381,สังคมชาวพันทิป,7 HD,ละครโทรทัศน์,3 HD (BEC),เรตติ้งละคร
15,437708,ธนวรรธน์ วรรธนะภูติ (โป๊ป),บุพเพสันนิวาส,นักแสดงชาย,BEC (ช่อง 3),3 HD (BEC)
16,2781579,สังคมชาวพันทิป,7 HD,ละครโทรทัศน์,3 HD (BEC),เรตติ้งละคร
17,4510105,หุ้น,การลงทุน,ตลาดหลักทรัพย์,TFEX (Thailand Future Exchange),Technical Analysis
18,2724686,วอลเลย์บอล,K-POP,นักร้องนักดนตรีเกาหลี,TWICE,JYP Entertainment
19,1203109,บุพเพสันนิวาส,ละครโทรทัศน์,ราณี แคมเปน (เบลล่า),ธนวรรธน์ วรรธนะภูติ (โป๊ป),BEC (ช่อง 3)
20,1428399,ปัญหาความรัก,สังคมคุณแม่,ประสบการณ์ชีวิตคู่,การเลี้ยงลูก,ความรักวัยรุ่น
